;Human;Dog;DaimonBeta;DaimonDelta;DaimonEpsilon;DaimonGamma;DaimonTurretCompoun;DaimonZeta;Ichthyos;Larva;Teuthus;TrailerBeta;Vermis;VermisChild;DaimonBladeLauncher^DaimonEta^DaimonEtaLaser^DaimonEtaProjectile;DaimonKnight^DaimonLightning^DaimonLightningLase^DaimonLightningSpik;DaimonMobulaProject^DaimonMobulaLaser^DaimonMobulaBolt^DaimonMobulaBlade;DaimonObstacle^DaimonObstacleBolt^DaimonObstacleLaser^DaimonObstacleMissi;DaimonObstacleProje^DaimonObstacleSpike^DaimonSpike^DaimonSwarm;DaimonTrial^DaimonTurretBlade^DaimonTurretLaser^DaimonTurretMissile;DaimonTurretProject^DroneAlpha^DroneAlphaLaser^DroneAlphaSpike;DroneBeta^TrailerAlpha^WingAlpha^DaimonAlpha^DaimonBlade;
Teuthus;1;1;0,5916666;1;1;1;0,5916666;1;1;0,7125;0;0,7125;0,591579;0,65;0,4;0,4;0,4;0,4;0,4;0,55;0,6625;0,7875;
TrailerBeta;0,675;0,6933333;0,6333333;0,5833334;0,6555555;0,5333334;0,6333333;0,7133334;0,5;0,5333334;0,7125;0;0,5231579;0,5;0,4;0,4;0,4;0,4;0,4;0,45;0,55;0,55;
Vermis;0,5957895;0,5452632;0,5649123;0,5952632;0,5684211;0,6936842;0,5649123;0,5936843;0,7684211;0,5231579;0,591579;0,5231579;0;0,4705263;0,4;0,4;0,4;0,4;0,4;0,55;0,58;0,71;
VermisChild;0,55;0,5822222;0,4041666;0,64375;0,6125;0,6375;0,4041666;0,6175;0,525;0,5;0,65;0,5;0,4705263;0;0,4;0,4;0,4;0,4;0,4;0,45;0,55;0,55;
DaimonBladeLauncher^DaimonEta^DaimonEtaLaser^DaimonEtaProjectile;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0;0;0;0;0;0;0;0;
DaimonKnight^DaimonLightning^DaimonLightningLase^DaimonLightningSpik;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0;0;0;0;0;0;0;0;
DaimonMobulaProject^DaimonMobulaLaser^DaimonMobulaBolt^DaimonMobulaBlade;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0;0;0;0;0;0;0;0;
DaimonObstacle^DaimonObstacleBolt^DaimonObstacleLaser^DaimonObstacleMissi;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0;0;0;0;0;0;0;0;
DaimonObstacleProje^DaimonObstacleSpike^DaimonSpike^DaimonSwarm;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0;0;0;0;0;0;0;0;
DaimonTrial^DaimonTurretBlade^DaimonTurretLaser^DaimonTurretMissile;0,55;0,55;0,5;0,55;0,55;0,5;0,5;0,55;0,55;0,45;0,55;0,45;0,55;0,45;0;0;0;0;0;0;0;0;
DaimonTurretProject^DroneAlpha^DroneAlphaLaser^DroneAlphaSpike;0,5875;0,58;0,55;0,55;0,55;0,55;0,55;0,55;0,70000005;0,55;0,6625;0,55;0,58;0,55;0;0;0;0;0;0;0;0;
DroneBeta^TrailerAlpha^WingAlpha^DaimonAlpha^DaimonBlade;0,73749995;0,73;0,65000004;0,70000005;0,70000005;0,65000004;0,65000004;0,70000005;0,79999995;0,55;0,7875;0,55;0,71;0,55;0;0;0;0;0;0;0;0;
