;USER_TASK_AT;USER_TASK_AX;USER_TASK_CM;USER_TASK_CV;USER_TASK_EC;USER_TASK_EQ;USER_TASK_EV1;USER_TASK_EV2;USER_TASK_EV3;USER_TASK_EV4;USER_TASK_EV5;USER_TASK_EV6;USER_TASK_GE;USER_TASK_GW;USER_TASK_HMI;USER_TASK_IL;USER_TASK_LZ;USER_TASK_MT;AUTO_init_user_app;AUTO_TASK_init_AT;AUTO_TASK_AT;AUTO_TASK_init_AX;AUTO_TASK_AX;AUTO_TASK_init_CheckCosmos;AUTO_TASK_init_CM;AUTO_TASK_CM;AUTO_TASK_init_CV;AUTO_TASK_CV;AUTO_TASK_init_EC;AUTO_TASK_EC;AUTO_TASK_init_EQ;AUTO_TASK_EQ;AUTO_TASK_init_EV1;AUTO_TASK_EV1;AUTO_TASK_init_EV2;AUTO_TASK_EV2;AUTO_TASK_init_EV3;AUTO_TASK_EV3;AUTO_TASK_init_EV4;AUTO_TASK_EV4;AUTO_TASK_init_EV5;AUTO_TASK_EV5;AUTO_TASK_init_EV6;AUTO_TASK_EV6;AUTO_TASK_init_GE;AUTO_TASK_GE;AUTO_TASK_init_GW;AUTO_TASK_GW;AUTO_TASK_init_HMI;AUTO_TASK_HMI;AUTO_TASK_init_IL;AUTO_TASK_IL;AUTO_TASK_init_LZ;AUTO_TASK_LZ;main;get_fwk_id;AUTO_TASK_init_MT;AUTO_TASK_MT;AUTO_TASK_init_PIL;AUTO_TASK_PIL;AUTO_TASK_init_PU;AUTO_TASK_PU;AUTO_TASK_init_RG;AUTO_TASK_RG;AUTO_TASK_init_SC;AUTO_TASK_SC;AUTO_TASK_init_SIV;AUTO_TASK_SIV;USER_TASK_PIL;USER_TASK_PU;getLastSunday;IsDST;USER_TASK_RG;USER_TASK_SC;USER_TASK_SIV;UserInit;Init_SIV;Init_EQ;Init_GW;Init_LZ;Init_CM;Init_PU;Init_EV1;Init_HMI;Init_MT;Init_AX;Init_SC;SC_LOC_EST_Inicializacion;SC_LOC_PROT_Inicializacion
AUTO_TASK_PU;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
AUTO_TASK_init_RG;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0,6666667;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0,90909094;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
AUTO_TASK_RG;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
AUTO_TASK_init_SC;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0,6666667;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0,90909094;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
AUTO_TASK_SC;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
AUTO_TASK_init_SIV;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0,6666667;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0,90909094;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
AUTO_TASK_SIV;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
USER_TASK_PIL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
USER_TASK_PU;1;0,974359;0,9852941;0,98062015;0,98536587;0,97252744;0,97899157;0,98015875;0,969697;0,9689441;0,9800797;1;1;1;0,9820051;0,9954128;0,9799331;0,9807692;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0,97536945;0,9790576;0,98214287;1;1;1;1;1;1;1;1;1;1;1;0,9602649;0,993865;1
getLastSunday;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
IsDST;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
USER_TASK_RG;1;0,989011;0,975;0,98870057;0,9918699;0,9489796;0,96753246;0,9702381;0,9382716;0,9350649;0,9700599;1;1;1;0,987055;1;0,98630136;0,9859155;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,97536945;1;1;0;0,9833887;0,97461927;1;1;1;1;1;1;1;1;1;1;1;0,95652175;0,98734176;1
USER_TASK_SC;0,9939577;0,98447895;0,98675495;0,9887955;0,9867987;0,98214287;0,98507464;0,9769452;0,9809886;0,980695;0,98567337;1;0,9961977;1;0,98770493;1;0,9849246;0,9826464;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,9790576;1;1;0,9833887;0;0,9868074;1;1;1;1;1;1;1;1;1;1;1;0,97590363;0,99616855;1
USER_TASK_SIV;1;0,9856322;0,9747475;0,992126;0,99;0,97727275;0,973913;0,9130435;0,96178347;0,9741936;0,98367345;1;1;1;0,984375;1;0,97959185;0,98888886;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,98214287;1;1;0,97461927;0,9868074;0;1;1;1;1;1;1;1;1;1;1;0,9935484;0,97959185;0,9936306;1
UserInit;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
Init_SIV;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1
Init_EQ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1
Init_GW;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
Init_LZ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,99382716;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
Init_CM;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
Init_PU;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
Init_EV1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
Init_HMI;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
Init_MT;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
Init_AX;1;0,995671;0,987013;1;1;1;1;1;1;1;1;1;1;1;0,9962547;1;1;0,99170125;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,9935484;1;1;1;1;1;1;1;1;1;1;0;1;1;1
Init_SC;1;0,98190045;0,95714283;0,984;0,98630136;0,9375;0,97115386;0,9745763;0,9032258;0,8888889;0,974359;1;1;1;0,9844358;1;0,98203593;0,9784483;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,9602649;1;1;0,95652175;0,97590363;0,97959185;1;1;1;1;1;1;1;1;1;1;1;0;0,96428573;1
SC_LOC_EST_Inicializacion;1;0,99570817;0,974359;1;1;0,98275864;0,99122804;0,9921875;0,9756098;0,972973;0,992126;1;1;1;0,9962825;1;0,98870057;0,9917355;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,993865;1;1;0,98734176;0,99616855;0,9936306;1;1;1;1;1;1;1;1;1;1;1;0,96428573;0;1
SC_LOC_PROT_Inicializacion;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
